Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,General Romulo,519 ,TEU,5350 ,4028 ,Philippines,1998 ,1 ,CSC Jinling Shipyard,Magsaysay Maritime
Container,HC Jade,519 ,TEU,5350 ,4028 ,Maldive Islands,1997 ,10 ,CSC Jinling Shipyard,Honey Corner
Container,Alma,508 ,TEU,5350 ,3992 ,Netherlands,1998 ,6 ,J. J. Sietas,Gebruder Winter
Container,Niugini Coast,373 ,TEU,5347 ,3978 ,Papua New Guinea,1996 ,7 ,Mutzelfeldt,Consort Express Line
Container,Niu Ailan Coast,373 ,TEU,5347 ,3978 ,Papua New Guinea,1996 ,12 ,Mutzelfeldt,Consort Express Line
Container,Chun Shing,376 ,TEU,5339 ,4265 ,Belize,1997 ,1 ,CSC Qingshan SY,Sinotrans & CSC
Container,Heinz Schepers,508 ,TEU,5336 ,3999 ,Antigua & Barbuda,1993 ,11 ,J. J. Sietas,Hamm Schiffahrts
Container,Archer,508 ,TEU,5336 ,3998 ,Cook Islands,1993 ,12 ,J. J. Sietas,Gant Trading Shpg
Container,BF Melody,508 ,TEU,5336 ,3998 ,Antigua & Barbuda,1993 ,12 ,J. J. Sietas,Foroohari Schiff.
Container,Caribe Legend,508 ,TEU,5336 ,3999 ,Antigua & Barbuda,1993 ,12 ,J. J. Sietas,Hyde Shpg. Corp.
Container,Anna G.,508 ,TEU,5336 ,3999 ,Antigua & Barbuda,1994 ,2 ,J. J. Sietas,Gerdes Schiffahrts
Container,Maris,508 ,TEU,5336 ,3999 ,Antigua & Barbuda,1995 ,10 ,J. J. Sietas,Heinz Moje
Container,Dette G.,508 ,TEU,5336 ,3999 ,Antigua & Barbuda,1995 ,9 ,J. J. Sietas,Bernd Becker
Container,Dubai Fortune,378 ,TEU,5334 ,6455 ,Cyprus,1992 ,9 ,Teraoka Shipyard,Gulfruss Shiping
Container,Dele,509 ,TEU,5331 ,3992 ,Indonesia,1994 ,5 ,J. J. Sietas,Alkan Abadi
Container,Corsa,508 ,TEU,5300 ,3999 ,Antigua & Barbuda,1998 ,7 ,J. J. Sietas,Gebruder Winter
Container,Baruna Jasa,306 ,TEU,5288 ,2995 ,Indonesia,2005 ,11 ,Taizhou Yuanshan SB,Baruna Shipping
Container,Madang Coast,432 ,TEU,5273 ,3978 ,Papua New Guinea,1997 ,10 ,Severnav S.A.,Consort Express Line
Container,LDR Ilyas,523 ,TEU,5273 ,3999 ,Panama,1997 ,4 ,Elbewerft GmbH,Asya Roro
Container,Sea Master S,373 ,TEU,5273 ,3978 ,Palau,1994 ,7 ,Mutzelfeldt,Master Shpg Co SKN
Container,Ocean Challenger,373 ,TEU,5273 ,3978 ,Philippines,1994 ,10 ,Mutzelfeldt,Oceanic Cont. Lines
Container,BF Aurelia,523 ,TEU,5272 ,3999 ,Antigua & Barbuda,1998 ,4 ,J. J. Sietas,Foroohari Schiff.
Container,Nakanai Coast,432 ,TEU,5270 ,4004 ,Papua New Guinea,1997 ,11 ,Mutzelfeldt,Consort Express Line
Container,Lady Hayat,321 ,TEU,5264 ,3558 ,Malta,1995 ,8 ,Gelibolu Shipyd,GN Group
Container,Segoro Mas,266 ,TEU,5250 ,2999 ,Indonesia,2005 ,1 ,Sinopacific Zhejiang,Temas Line
Container,Samudera Mas,296 ,TEU,5222 ,2999 ,Indonesia,2005 ,1 ,Sinopacific Zhejiang,Temas Line
Container,BF Cartagena,509 ,TEU,5218 ,3998 ,Cyprus,1995 ,10 ,J. J. Sietas,Foroohari Schiff.
Container,BF Victoria,508 ,TEU,5215 ,3999 ,Antigua & Barbuda,1998 ,1 ,J. J. Sietas,Foroohari Schiff.
Container,Marja,508 ,TEU,5214 ,3999 ,Netherlands,1995 ,2 ,J. J. Sietas,Holwerda Shipmngt.
Container,Atlantic Comet,508 ,TEU,5214 ,3999 ,Cyprus,1995 ,3 ,J. J. Sietas,Atlantic Horizon
Container,Gerda,508 ,TEU,5214 ,3999 ,Germany,1995 ,4 ,J. J. Sietas,Rambow Bereederungs
Container,Dornbusch,508 ,TEU,5210 ,3999 ,Germany,1996 ,2 ,J. J. Sietas,Jurgen Ohle
Container,BF Valencia,508 ,TEU,5210 ,3999 ,Antigua & Barbuda,1996 ,2 ,J. J. Sietas,Foroohari Schiff.
Container,BF Catania,508 ,TEU,5210 ,3999 ,Antigua & Barbuda,1995 ,9 ,J. J. Sietas,Foroohari Schiff.
