Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Elisabeth-S,4250 ,TEU,50300 ,40541 ,Antigua & Barbuda,2009 ,9 ,Jiangsu New YZJ,Schepers Reederei
Container,Jules Verne,4250 ,TEU,50300 ,40541 ,Liberia,2009 ,12 ,Jiangsu New YZJ,NVA Norddeutsche
Container,Joseph Conrad,4250 ,TEU,50300 ,40541 ,Liberia,2009 ,12 ,Jiangsu New YZJ,NVA Norddeutsche
Container,Seaspan Lebu,4250 ,TEU,50276 ,40541 ,Hong Kong,2010 ,6 ,Jiangsu New YZJ,Seaspan Corporation
Container,CSAV Lumaco,4250 ,TEU,50245 ,40541 ,Hong Kong,2009 ,5 ,Jiangsu New YZJ,Seaspan Corporation
Container,JPO Vela,4254 ,TEU,50244 ,41225 ,Liberia,2009 ,10 ,Sinopacific Zhejiang,"Oltmann, Schiff."
Container,JPO Virgo,4254 ,TEU,50244 ,41225 ,Madeira,2009 ,11 ,Sinopacific Zhejiang,"Oltmann, Schiff."
Container,JPO Volans,4254 ,TEU,50244 ,41225 ,Madeira,2010 ,1 ,Sinopacific Zhejiang,"Oltmann, Schiff."
Container,JPO Vulpecula,4254 ,TEU,50244 ,41225 ,Liberia,2010 ,5 ,Sinopacific Zhejiang,"Oltmann, Schiff."
Container,Jonathan Swift,4250 ,TEU,50201 ,40541 ,Liberia,2010 ,7 ,Jiangsu New YZJ,NVA Norddeutsche
Container,Cap Talbot,3739 ,TEU,50200 ,40085 ,Liberia,2001 ,9 ,Samsung HI,Tsakos Group
Container,Cap Doukato,3739 ,TEU,50200 ,40085 ,Marshall Islands,2002 ,4 ,Samsung HI,Diana Shipping
Container,Cap Stewart,3739 ,TEU,50200 ,40085 ,Liberia,2001 ,7 ,Samsung HI,SeaChange
Container,Trafalgar,3739 ,TEU,50200 ,40085 ,Unknown,2001 ,1 ,Samsung HI,Unknown U.S. Owner
Container,Xin Chong Qing,4051 ,TEU,50188 ,41482 ,Peoples' Republic of China,2003 ,7 ,Hudong Zhonghua,China Shipping Group
