Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Cape Falster,1221 ,TEU,16439 ,14308 ,Marshall Islands,2005 ,9 ,Peene Werft,Schoeller Holdings
Container,Cape Flores,1221 ,TEU,16439 ,14308 ,Marshall Islands,2005 ,11 ,Peene Werft,Schoeller Holdings
Container,Cape Fraser,1221 ,TEU,16439 ,14308 ,Marshall Islands,2005 ,12 ,Peene Werft,Schoeller Holdings
Container,Mare Frio,1200 ,TEU,16421 ,14308 ,Marshall Islands,2003 ,6 ,Peene Werft,Marenave Schiffahrts
Container,Stadt Luebeck,1078 ,TEU,16400 ,13764 ,Liberia,2001 ,1 ,Jurong S.Y.,Costamare Shipping
Container,New Dynamic,1078 ,TEU,16400 ,13764 ,Singapore,2001 ,4 ,Jurong S.Y.,CMB
Container,Eilbek,1638 ,TEU,15956 ,16324 ,Liberia,2005 ,1 ,Meyer Werft,Wubbe H.H.
Container,Reinbek,1638 ,TEU,15956 ,16324 ,Malta,2005 ,3 ,Meyer Werft,Wubbe H.H.
Container,Flottbek,1638 ,TEU,15956 ,16324 ,Liberia,2005 ,5 ,Meyer Werft,Wubbe H.H.
Container,Barmbek,1638 ,TEU,15956 ,16324 ,Liberia,2005 ,7 ,Meyer Werft,Wubbe H.H.
Container,Uni-Ardent,1164 ,TEU,15606 ,14807 ,Panama,1998 ,7 ,Evergreen H.I.,Evergreen Marine
Container,Uni-Assent,1164 ,TEU,15606 ,14807 ,Panama,1999 ,2 ,Evergreen H.I.,Evergreen Marine
Container,Uni-Assure,1164 ,TEU,15606 ,14807 ,Panama,1999 ,4 ,Evergreen H.I.,Evergreen Marine
Container,Ever Apex,1164 ,TEU,15606 ,13329 ,Panama,1997 ,3 ,Evergreen H.I.,Evergreen Marine
Container,Uni-Accord,1164 ,TEU,15606 ,14807 ,Hong Kong,1997 ,10 ,Evergreen H.I.,Evergreen Marine
Container,Ever Able,1164 ,TEU,15605 ,14807 ,Panama,1996 ,7 ,Hayashikane,Evergreen Marine
Container,Ever Ally,1164 ,TEU,15605 ,14807 ,Panama,1996 ,11 ,Hayashikane,Evergreen Marine
Container,Uni-Active,1164 ,TEU,15511 ,14807 ,Taiwan,1998 ,1 ,Evergreen H.I.,Evergreen Marine
Container,Uni-Adroit,1164 ,TEU,15511 ,14807 ,Taiwan,1998 ,4 ,Evergreen H.I.,Evergreen Marine
Container,Uni-Aspire,1164 ,TEU,15511 ,14807 ,Panama,1998 ,10 ,Evergreen H.I.,Evergreen Marine
Container,Uni-Angel,1162 ,TEU,15477 ,14796 ,Panama,1997 ,8 ,CSBC (Kaohsiung),Evergreen Marine
Container,Uni-Arise,1162 ,TEU,15477 ,14796 ,Panama,1997 ,10 ,CSBC (Kaohsiung),Evergreen Marine
Container,Yantra Bhum,1288 ,TEU,15345 ,11086 ,Singapore,1993 ,9 ,Hanjin HI (Yeongdo),Regional Cont. Lines
Container,Rachel Borchard,1216 ,TEU,15315 ,14278 ,Marshall Islands,2000 ,6 ,Hanjin HI (Ulsan),Borchard Lines
Container,Charlotte Borchard,1216 ,TEU,15315 ,14278 ,Marshall Islands,2000 ,8 ,Hanjin HI (Ulsan),Borchard Lines
Container,Ruth Borchard,1216 ,TEU,15315 ,14278 ,Marshall Islands,2000 ,11 ,Hanjin HI (Ulsan),Borchard Lines
Container,MTT Port Klang,1216 ,TEU,15315 ,14278 ,Malaysia,2001 ,1 ,Hanjin HI (Ulsan),MTT Shipping
Container,Lantau Ace,1216 ,TEU,15315 ,14278 ,Marshall Islands,2001 ,4 ,Hanjin HI (Ulsan),"Kopping, Reederei"
Container,Judith Borchard,1216 ,TEU,15315 ,14278 ,Luxembourg,2001 ,7 ,Hanjin HI (Ulsan),NVA Norddeutsche
Container,Lantau Arrow,1216 ,TEU,15315 ,14278 ,Marshall Islands,2001 ,10 ,Hanjin HI (Ulsan),"Kopping, Reederei"
Container,Sandy Rickmers,1216 ,TEU,15315 ,14278 ,Marshall Islands,2001 ,12 ,Hanjin HI (Ulsan),Rickmers Group
Container,Xetha Bhum,1288 ,TEU,15301 ,11086 ,Singapore,1993 ,6 ,Hanjin HI (Yeongdo),Regional Cont. Lines
Container,Uni-Ample,1162 ,TEU,15300 ,13300 ,Panama,1997 ,8 ,CSBC (Kaohsiung),Evergreen Marine
Container,Uni-Ahead,1162 ,TEU,15300 ,13300 ,Panama,1997 ,8 ,CSBC (Kaohsiung),Evergreen Marine
Container,Sinar Bangka,1060 ,TEU,15236 ,12563 ,Singapore,2000 ,1 ,Hakata Zosen,Kowa Marine Service
Container,Tanto Jaya,1060 ,TEU,15236 ,12471 ,Indonesia,1998 ,3 ,Hakata Zosen,Tanto Intim Line
Container,FESCO Trader,1060 ,TEU,15232 ,12471 ,Cyprus,1997 ,8 ,Hakata Zosen,Far-Eastern Shpg. Co
Container,FESCO Voyager,1060 ,TEU,15232 ,12471 ,Cyprus,1998 ,8 ,Hakata Zosen,Far-Eastern Shpg. Co
Container,Acclaim,1050 ,TEU,15219 ,12559 ,Panama,2006 ,2 ,Hakata Zosen,Tsurumi Kisen
Container,Aspiration,1050 ,TEU,15219 ,12559 ,Panama,2005 ,12 ,Hakata Zosen,Nissen Kaiun K.K.
Container,MOL Adventure,1050 ,TEU,15219 ,12559 ,Panama,2005 ,10 ,Hakata Zosen,Murakami Sekiyu
Container,Sinar Solo,1060 ,TEU,15218 ,12351 ,Singapore,1999 ,2 ,Hakata Zosen,Samudera Indonesia
Container,MOL Aqua,1060 ,TEU,15204 ,12584 ,Panama,2009 ,10 ,Hakata Zosen,Hakata Zosen
Container,Sinar Brani,1060 ,TEU,15204 ,12584 ,Panama,2010 ,6 ,Hakata Zosen,Hakata Zosen
Container,CMA CGM Simba,1048 ,TEU,15170 ,11062 ,United Kingdom,1994 ,7 ,J. J. Sietas,CMA-CGM
Container,Delmas Swala,1107 ,TEU,15166 ,11062 ,United Kingdom,1994 ,,J. J. Sietas,CMA-CGM
Container,Hong Kong Voyager,1054 ,TEU,14984 ,12653 ,South Korea,2006 ,11 ,Hakata Zosen,Sinokor Merchant
Container,Admiration,1054 ,TEU,14984 ,12653 ,Panama,2007 ,2 ,Hakata Zosen,Nissen Kaiun K.K.
Container,Sinar Bandung,1054 ,TEU,14984 ,12653 ,Singapore,2005 ,6 ,Hakata Zosen,Samudera Indonesia
Container,Sinar Banten,1200 ,TEU,14978 ,12598 ,Panama,2008 ,6 ,Hakata Zosen,Samudera Indonesia
Container,Sinar Buton,1200 ,TEU,14978 ,12598 ,Panama,2008 ,10 ,Hakata Zosen,Nissen Kaiun K.K.
Container,Sinar Bromo,1060 ,TEU,14978 ,12598 ,Panama,2009 ,1 ,Hakata Zosen,Tsurumi Kisen
Container,Sinar Bintan,1048 ,TEU,14971 ,12563 ,Singapore,2002 ,3 ,Hakata Zosen,Samudera Indonesia
Container,Mathu Bhum,1248 ,TEU,14960 ,11079 ,Singapore,1990 ,3 ,Hanjin HI (Yeongdo),Regional Cont. Lines
Container,Dawei Star,1049 ,TEU,14911 ,11062 ,Liberia,1994 ,8 ,J. J. Sietas,RK Shpg & Trdg
Container,Nanta Bhum,1248 ,TEU,14800 ,11079 ,Thailand,1990 ,8 ,Hanjin HI (Yeongdo),Regional Cont. Lines
Container,Corsar,1025 ,TEU,14800 ,11550 ,Antigua & Barbuda,2012 ,5 ,Fujian Mawei SB,Buss Group
Container,Condor,1025 ,TEU,14800 ,11550 ,Antigua & Barbuda,2012 ,6 ,Fujian Mawei SB,Buss Group
Container,Oceanex Avalon,1004 ,TEU,14747 ,14639 ,Canada,2005 ,5 ,J. J. Sietas,Oceanex
Container,St. John Faith,1131 ,TEU,14717 ,11987 ,Panama,1995 ,11 ,Volkswerft,Container Leasing
Container,CNP Ilo,1131 ,TEU,14700 ,11987 ,Peru,1995 ,12 ,Volkswerft,Transgas Shpg. Lines
Container,Weisshorn,1122 ,TEU,14643 ,12029 ,Antigua & Barbuda,1996 ,5 ,Volkswerft,Contal Shipping Ltd.
Container,Jaguar,1122 ,TEU,14643 ,12029 ,Liberia,1996 ,10 ,Volkswerft,Element Shipmngt
Container,Luzon,1122 ,TEU,14630 ,12029 ,Indonesia,1996 ,3 ,Volkswerft,Salam Pacific
Container,Ocean,1122 ,TEU,14587 ,12029 ,Marshall Islands,1996 ,12 ,Volkswerft,Crowley Maritime
Container,Rothorn,1122 ,TEU,14580 ,12029 ,Antigua & Barbuda,1996 ,7 ,Volkswerft,Contal Shipping Ltd.
Container,Titan,1122 ,TEU,14580 ,11890 ,Antigua & Barbuda,1996 ,8 ,Volkswerft,Heinz Corleis
Container,OEL Singapore,1028 ,TEU,14500 ,9990 ,Singapore,2007 ,5 ,ST Marine,Transworld Group
Container,BLPL Blessing,1028 ,TEU,14500 ,9990 ,Singapore,2007 ,9 ,ST Marine,Transworld Group
Container,OEL Colombo,1028 ,TEU,14500 ,9988 ,Panama,2008 ,1 ,ST Marine,Transworld Group
Container,OEL India,1030 ,TEU,14500 ,9990 ,Panama,2008 ,8 ,ST Marine,Transworld Group
Container,Meratus Makassar,1104 ,TEU,14464 ,11964 ,Indonesia,1995 ,9 ,Volkswerft,Pelayaran Meratus
Container,Meratus Mamiri,1104 ,TEU,14454 ,11964 ,Indonesia,1995 ,9 ,Volkswerft,Pelayaran Meratus
Container,Meratus Malino,1104 ,TEU,14454 ,11964 ,Indonesia,1995 ,6 ,Volkswerft,Pelayaran Meratus
Container,Tian Sheng,1005 ,TEU,14436 ,10544 ,Peoples' Republic of China,1983 ,12 ,Werft Nobiskrug,Quanzhou Tongda
Container,Barrier,1104 ,TEU,14381 ,11925 ,Madeira,1998 ,12 ,Shanghai Edward,Rickmers Group
Container,Merito,1104 ,TEU,14380 ,11925 ,Malta,1998 ,1 ,Shanghai Edward,Tom Worden Schiffs
Container,OEL Trust,1166 ,TEU,14342 ,11872 ,India,1992 ,2 ,Mathias Thesen,Transworld Group
Container,MSC Edith,1658 ,TEU,14310 ,15500 ,Malta,1998 ,6 ,Howaldtswerke Werft,MSC
Container,MSC Marylena,1658 ,TEU,14310 ,15500 ,Malta,1998 ,7 ,Howaldtswerke Werft,MSC
