Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,NYK Orpheus,9040 ,TEU,99563 ,99543 ,Japan,2008 ,6 ,I.H.I.,Nippon Yusen Kaisha
Container,OOCL Tokyo,8063 ,TEU,99518 ,89097 ,Hong Kong,2007 ,1 ,Samsung HI,Orient Overseas Intl
Container,OOCL Southampton,8063 ,TEU,99518 ,89097 ,Hong Kong,2007 ,6 ,Samsung HI,Orient Overseas Intl
Container,OOCL Atlanta,8063 ,TEU,99518 ,89097 ,Hong Kong,2005 ,3 ,Samsung HI,Orient Overseas Intl
Container,OOCL Tianjin,8063 ,TEU,99518 ,89097 ,Hong Kong,2005 ,3 ,Samsung HI,Global Ship Lease
Container,OOCL Shenzhen,8063 ,TEU,99518 ,89097 ,Hong Kong,2003 ,5 ,Samsung HI,MC Seamax Shipping
Container,OOCL Long Beach,8063 ,TEU,99518 ,89097 ,Hong Kong,2003 ,6 ,Samsung HI,MC Seamax Shipping
Container,OOCL Rotterdam,8063 ,TEU,99518 ,89097 ,Hong Kong,2004 ,1 ,Samsung HI,Orient Overseas Intl
Container,OOCL Hamburg,8063 ,TEU,99518 ,89097 ,Hong Kong,2004 ,3 ,Samsung HI,Orient Overseas Intl
Container,OOCL Qingdao,8063 ,TEU,99518 ,89097 ,Hong Kong,2004 ,4 ,Samsung HI,Global Ship Lease
Container,OOCL Ningbo,8063 ,TEU,99518 ,89097 ,Hong Kong,2004 ,6 ,Samsung HI,Orient Overseas Intl
Container,OOCL Asia,8063 ,TEU,99518 ,89097 ,Hong Kong,2006 ,3 ,Samsung HI,Orient Overseas Intl
Container,OOCL Europe,8063 ,TEU,99518 ,89097 ,Hong Kong,2006 ,7 ,Samsung HI,Orient Overseas Intl
Container,OOCL Luxembourg,8063 ,TEU,99518 ,89097 ,Hong Kong,2010 ,4 ,Samsung HI,Orient Overseas Intl
Container,OOCL Seoul,8063 ,TEU,99518 ,89097 ,Hong Kong,2010 ,1 ,Samsung HI,Orient Overseas Intl
Container,OOCL Washington,8063 ,TEU,99518 ,89097 ,Hong Kong,2010 ,1 ,Samsung HI,Orient Overseas Intl
Container,NYK Adonis,9300 ,TEU,99500 ,98800 ,Panama,2010 ,3 ,I.H.I.,Nippon Yusen Kaisha
