Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Shahraz,6572 ,TEU,85878 ,74175 ,Iran,2008 ,8 ,Hanjin HI (Yeongdo),Soroush Sarzamin
Container,Shabdis,6572 ,TEU,85878 ,74175 ,Iran,2009 ,12 ,Hanjin HI (Yeongdo),Soroush Sarzamin
Container,Behta,6572 ,TEU,85878 ,74175 ,Malta,2009 ,12 ,Hanjin HI (Yeongdo),Soroush Sarzamin
Container,MSC Vanessa,6750 ,TEU,85844 ,75590 ,Panama,2003 ,2 ,Daewoo (DSME),MSC
Container,MSC Ludovica,6750 ,TEU,85844 ,75590 ,Panama,2003 ,4 ,Daewoo (DSME),NSB Niederelbe
Container,MSC Florentina,6750 ,TEU,85844 ,75590 ,Panama,2003 ,6 ,Daewoo (DSME),NSB Niederelbe
Container,MSC Maureen,6750 ,TEU,85832 ,75590 ,Panama,2003 ,8 ,Daewoo (DSME),NSB Niederelbe
Container,Ilse Wulff,6540 ,TEU,85824 ,75604 ,Liberia,2009 ,3 ,Hyundai HI,Wulff Reederei
Container,RDO Concord,6969 ,TEU,85824 ,73819 ,Liberia,2009 ,7 ,Hyundai HI,"Oltmann, D."
Container,RDO Concert,6969 ,TEU,85824 ,75604 ,Liberia,2009 ,11 ,Hyundai HI,"Oltmann, D."
Container,MSC Flaminia,6750 ,TEU,85823 ,75590 ,Malta,2001 ,8 ,Daewoo (DSME),NSB Niederelbe
Container,MSC Marina,6402 ,TEU,85806 ,73819 ,Panama,2003 ,11 ,Hyundai HI,MSC
Container,Washington,6969 ,TEU,85760 ,75582 ,Hong Kong,2009 ,4 ,Hyundai HI,Synergy Marine Ltd.
Container,Texas,6969 ,TEU,85760 ,75582 ,Hong Kong,2009 ,5 ,Hyundai HI,Synergy Marine Ltd.
Container,Astrid Schulte,6969 ,TEU,85760 ,75582 ,Malta,2009 ,6 ,Hyundai HI,Schulte Group
Container,Adrian Schulte,6969 ,TEU,85760 ,75582 ,Malta,2009 ,8 ,Hyundai HI,Schulte Group
Container,Anton Schulte,6969 ,TEU,85760 ,75582 ,Malta,2009 ,9 ,Hyundai HI,Schulte Group
Container,Agios Dimitrios,6572 ,TEU,85701 ,74175 ,Liberia,2011 ,2 ,Hanjin HI (Yeongdo),Technomar Shipping
Container,MSC Stella,6402 ,TEU,85680 ,73819 ,Panama,2004 ,6 ,Hyundai Samho HI,MSC
Container,Hatta,6921 ,TEU,85614 ,75579 ,United Arab Emirates,2008 ,2 ,Hyundai HI,United Arab Shpg.
Container,Miramarin,6477 ,TEU,85522 ,73779 ,Malta,2010 ,2 ,Hanjin HI (Yeongdo),Dryships
Container,Al Bahia,6921 ,TEU,85517 ,75579 ,United Arab Emirates,2008 ,4 ,Hyundai HI,United Arab Shpg.
Container,Mayssan,6921 ,TEU,85517 ,75579 ,Bahrain,2008 ,5 ,Hyundai HI,United Arab Shpg.
Container,Al Manamah,6921 ,TEU,85517 ,75579 ,Bahrain,2008 ,6 ,Hyundai HI,United Arab Shpg.
Container,Jazan,6921 ,TEU,85463 ,75579 ,Saudi Arabia,2008 ,7 ,Hyundai HI,United Arab Shpg.
Container,CMA CGM Maupassant,6477 ,TEU,85450 ,73779 ,United Kingdom,2010 ,9 ,Hanjin HI (Yeongdo),CMA-CGM
Container,CMA CGM Lamartine,6477 ,TEU,85446 ,73779 ,United Kingdom,2010 ,6 ,Hanjin HI (Yeongdo),CMA-CGM
Container,Al Safat,6921 ,TEU,85437 ,75579 ,Kuwait,2008 ,1 ,Hyundai HI,United Arab Shpg.
