"","gid","g.lon","g.lat","CO2","PM2.5","SOx","NOx"
"78","122.55_30.87",122.55,30.87,14.534494185231,0.0171174423287292,0.150061933158507,0.24738654037803
"79","122.54_30.87",122.54,30.87,36.4530792772933,0.0406647392038567,0.347704405462806,0.606131944653028
"80","122.54_30.88",122.54,30.88,30.2462669119368,0.0321316680826751,0.273460731015991,0.494020730566164
"81","122.49_31.08",122.49,31.08,NA,NA,NA,NA
"82","122.36_31.09",122.36,31.09,NA,NA,NA,NA
"83","122.36_31.1",122.36,31.1,NA,NA,NA,NA
"84","122.35_31.1",122.35,31.1,NA,NA,NA,NA
"85","122.34_31.1",122.34,31.1,NA,NA,NA,NA
"86","122.33_31.1",122.33,31.1,NA,NA,NA,NA
"87","122.32_31.1",122.32,31.1,NA,NA,NA,NA
"88","122.31_31.1",122.31,31.1,NA,NA,NA,NA
"89","122.3_31.1",122.3,31.1,NA,NA,NA,NA
"90","122.26_31.12",122.26,31.12,NA,NA,NA,NA
"91","122.24_31.13",122.24,31.13,NA,NA,NA,NA
"92","122.23_31.14",122.23,31.14,NA,NA,NA,NA
"93","122.22_31.15",122.22,31.15,NA,NA,NA,NA
"94","122.21_31.15",122.21,31.15,NA,NA,NA,NA
"95","122.2_31.16",122.2,31.16,NA,NA,NA,NA
"96","122.19_31.16",122.19,31.16,NA,NA,NA,NA
"97","122.19_31.17",122.19,31.17,NA,NA,NA,NA
"98","122.18_31.17",122.18,31.17,NA,NA,NA,NA
"99","122.17_31.17",122.17,31.17,NA,NA,NA,NA
"100","122.17_31.18",122.17,31.18,NA,NA,NA,NA
"101","122.16_31.18",122.16,31.18,NA,NA,NA,NA
"102","122.16_31.19",122.16,31.19,NA,NA,NA,NA
"103","122.15_31.19",122.15,31.19,NA,NA,NA,NA
"104","122.14_31.19",122.14,31.19,NA,NA,NA,NA
"105","122.14_31.2",122.14,31.2,NA,NA,NA,NA
"106","122.13_31.2",122.13,31.2,NA,NA,NA,NA
"107","122.13_31.21",122.13,31.21,NA,NA,NA,NA
"108","122.12_31.21",122.12,31.21,NA,NA,NA,NA
"109","122.11_31.22",122.11,31.22,NA,NA,NA,NA
"110","122.1_31.22",122.1,31.22,NA,NA,NA,NA
"111","122.09_31.22",122.09,31.22,NA,NA,NA,NA
"112","122.09_31.23",122.09,31.23,NA,NA,NA,NA
"113","122.08_31.23",122.08,31.23,NA,NA,NA,NA
"114","122.07_31.23",122.07,31.23,NA,NA,NA,NA
"115","122.06_31.23",122.06,31.23,NA,NA,NA,NA
"116","122.05_31.23",122.05,31.23,NA,NA,NA,NA
"117","122.04_31.23",122.04,31.23,NA,NA,NA,NA
"118","122.03_31.24",122.03,31.24,NA,NA,NA,NA
"119","122.02_31.24",122.02,31.24,NA,NA,NA,NA
"120","122.01_31.24",122.01,31.24,NA,NA,NA,NA
"121","122_31.24",122,31.24,NA,NA,NA,NA
"122","121.99_31.24",121.99,31.24,NA,NA,NA,NA
"123","121.99_31.25",121.99,31.25,NA,NA,NA,NA
"124","121.98_31.25",121.98,31.25,NA,NA,NA,NA
"125","121.97_31.25",121.97,31.25,NA,NA,NA,NA
"126","121.96_31.25",121.96,31.25,NA,NA,NA,NA
"127","121.95_31.25",121.95,31.25,NA,NA,NA,NA
"128","121.94_31.25",121.94,31.25,NA,NA,NA,NA
"129","121.93_31.25",121.93,31.25,NA,NA,NA,NA
"130","121.93_31.26",121.93,31.26,218.181338352507,0.255352486975499,2.09728198845018,3.70100903677872
"131","121.92_31.26",121.92,31.26,NA,NA,NA,NA
"132","121.91_31.26",121.91,31.26,NA,NA,NA,NA
"133","121.9_31.26",121.9,31.26,NA,NA,NA,NA
"134","121.89_31.26",121.89,31.26,NA,NA,NA,NA
"135","121.88_31.26",121.88,31.26,NA,NA,NA,NA
"136","121.87_31.26",121.87,31.26,NA,NA,NA,NA
"137","121.87_31.27",121.87,31.27,157.094353049672,0.184431989011992,1.50850138214508,2.66667105396922
"138","121.86_31.27",121.86,31.27,NA,NA,NA,NA
"139","121.85_31.27",121.85,31.27,NA,NA,NA,NA
"140","121.84_31.27",121.84,31.27,NA,NA,NA,NA
"141","121.83_31.28",121.83,31.28,NA,NA,NA,NA
"142","121.81_31.29",121.81,31.29,NA,NA,NA,NA
"143","121.8_31.29",121.8,31.29,NA,NA,NA,NA
"144","121.79_31.29",121.79,31.29,NA,NA,NA,NA
"145","121.78_31.29",121.78,31.29,NA,NA,NA,NA
"146","121.78_31.3",121.78,31.3,NA,NA,NA,NA
"147","121.77_31.3",121.77,31.3,NA,NA,NA,NA
"148","121.76_31.3",121.76,31.3,NA,NA,NA,NA
"149","121.75_31.3",121.75,31.3,NA,NA,NA,NA
"150","121.75_31.31",121.75,31.31,NA,NA,NA,NA
"151","121.74_31.31",121.74,31.31,NA,NA,NA,NA
"152","121.73_31.31",121.73,31.31,NA,NA,NA,NA
"153","121.72_31.31",121.72,31.31,NA,NA,NA,NA
"154","121.71_31.32",121.71,31.32,NA,NA,NA,NA
"155","121.7_31.32",121.7,31.32,NA,NA,NA,NA
"156","121.69_31.33",121.69,31.33,NA,NA,NA,NA
"157","121.68_31.33",121.68,31.33,NA,NA,NA,NA
"158","121.67_31.33",121.67,31.33,NA,NA,NA,NA
"159","121.66_31.33",121.66,31.33,NA,NA,NA,NA
"160","121.68_31.32",121.68,31.32,NA,NA,NA,NA
"161","121.74_31.3",121.74,31.3,NA,NA,NA,NA
"162","121.8_31.28",121.8,31.28,NA,NA,NA,NA
"163","121.81_31.28",121.81,31.28,NA,NA,NA,NA
"164","121.82_31.28",121.82,31.28,NA,NA,NA,NA
"165","121.83_31.27",121.83,31.27,NA,NA,NA,NA
"166","121.85_31.26",121.85,31.26,NA,NA,NA,NA
"167","121.86_31.26",121.86,31.26,NA,NA,NA,NA
"168","121.91_31.25",121.91,31.25,NA,NA,NA,NA
"169","121.92_31.25",121.92,31.25,NA,NA,NA,NA
"170","121.97_31.24",121.97,31.24,NA,NA,NA,NA
"171","121.98_31.24",121.98,31.24,NA,NA,NA,NA
"172","122.03_31.23",122.03,31.23,NA,NA,NA,NA
"173","122.08_31.22",122.08,31.22,NA,NA,NA,NA
"174","122.12_31.2",122.12,31.2,NA,NA,NA,NA
"175","122.15_31.18",122.15,31.18,NA,NA,NA,NA
"176","122.2_31.15",122.2,31.15,NA,NA,NA,NA
"177","122.22_31.14",122.22,31.14,NA,NA,NA,NA
"178","122.25_31.13",122.25,31.13,NA,NA,NA,NA
"179","122.27_31.12",122.27,31.12,NA,NA,NA,NA
"180","122.27_31.11",122.27,31.11,NA,NA,NA,NA
"181","122.28_31.11",122.28,31.11,NA,NA,NA,NA
"182","122.29_31.1",122.29,31.1,NA,NA,NA,NA
"183","122.32_31.09",122.32,31.09,NA,NA,NA,NA
"184","122.93_30.59",122.93,30.59,NA,NA,NA,NA
"185","122.93_30.58",122.93,30.58,NA,NA,NA,NA
"186","122.92_30.58",122.92,30.58,NA,NA,NA,NA
"187","122.92_30.57",122.92,30.57,NA,NA,NA,NA
"188","122.92_30.56",122.92,30.56,NA,NA,NA,NA
"189","122.91_30.55",122.91,30.55,39.8621095964132,0.0542417929819477,0.426274944083622,0.720058590129296
"190","122.54_29.8",122.54,29.8,NA,NA,NA,NA
"191","122.54_29.79",122.54,29.79,NA,NA,NA,NA
"192","122.52_29.79",122.52,29.79,NA,NA,NA,NA
"193","122.51_29.78",122.51,29.78,NA,NA,NA,NA
"194","122.5_29.78",122.5,29.78,NA,NA,NA,NA
"195","122.49_29.78",122.49,29.78,NA,NA,NA,NA
"196","122.48_29.77",122.48,29.77,NA,NA,NA,NA
"197","122.47_29.77",122.47,29.77,NA,NA,NA,NA
"198","122.46_29.76",122.46,29.76,NA,NA,NA,NA
"199","122.45_29.76",122.45,29.76,NA,NA,NA,NA
"200","122.44_29.76",122.44,29.76,NA,NA,NA,NA
"201","122.43_29.76",122.43,29.76,NA,NA,NA,NA
"202","122.43_29.75",122.43,29.75,NA,NA,NA,NA
"203","122.42_29.75",122.42,29.75,NA,NA,NA,NA
"204","122.41_29.75",122.41,29.75,NA,NA,NA,NA
"205","122.4_29.75",122.4,29.75,NA,NA,NA,NA
"206","122.39_29.75",122.39,29.75,NA,NA,NA,NA
"207","122.34_29.75",122.34,29.75,NA,NA,NA,NA
"208","122.33_29.75",122.33,29.75,NA,NA,NA,NA
"209","122.32_29.75",122.32,29.75,NA,NA,NA,NA
"210","122.31_29.75",122.31,29.75,NA,NA,NA,NA
"211","122.31_29.76",122.31,29.76,NA,NA,NA,NA
"212","122.3_29.76",122.3,29.76,NA,NA,NA,NA
"213","122.29_29.77",122.29,29.77,NA,NA,NA,NA
"214","122.28_29.77",122.28,29.77,NA,NA,NA,NA
"215","122.27_29.78",122.27,29.78,NA,NA,NA,NA
"216","122.26_29.79",122.26,29.79,NA,NA,NA,NA
"217","122.25_29.8",122.25,29.8,NA,NA,NA,NA
"218","122.23_29.8",122.23,29.8,NA,NA,NA,NA
"219","122.23_29.81",122.23,29.81,NA,NA,NA,NA
"220","122.22_29.82",122.22,29.82,NA,NA,NA,NA
"221","122.16_29.84",122.16,29.84,NA,NA,NA,NA
"222","122.15_29.83",122.15,29.83,NA,NA,NA,NA
"223","122.13_29.82",122.13,29.82,NA,NA,NA,NA
"224","122.11_29.8",122.11,29.8,NA,NA,NA,NA
"225","122.09_29.79",122.09,29.79,NA,NA,NA,NA
"226","122.03_29.78",122.03,29.78,NA,NA,NA,NA
"227","122.02_29.78",122.02,29.78,NA,NA,NA,NA
"228","122.01_29.77",122.01,29.77,NA,NA,NA,NA
"229","121.99_29.76",121.99,29.76,NA,NA,NA,NA
"230","122.05_29.77",122.05,29.77,29.2832831552584,0.0239579732818325,0.193458754350171,0.440139571366341
"231","122.12_29.8",122.12,29.8,NA,NA,NA,NA
"232","122.24_29.79",122.24,29.79,NA,NA,NA,NA
"233","122.25_29.78",122.25,29.78,NA,NA,NA,NA
"234","122.33_29.73",122.33,29.73,NA,NA,NA,NA
"235","122.34_29.73",122.34,29.73,NA,NA,NA,NA
"236","122.35_29.73",122.35,29.73,NA,NA,NA,NA
"237","122.39_29.77",122.39,29.77,56.5723160122571,0.0703766617057541,0.576972556461975,0.981958901964192
"238","122.43_29.78",122.43,29.78,69.6714118841113,0.079435153021062,0.650170928102783,1.17000270768202
"239","122.45_29.79",122.45,29.79,116.838758060946,0.109917582367246,0.859253383842824,1.83260429202386
"240","122.46_29.8",122.46,29.8,37.273823128986,0.0419771013538439,0.353489318090743,0.624472782061317
"241","122.47_29.8",122.47,29.8,39.1332837864046,0.0448543412122791,0.372594004976086,0.65914736293823
"242","122.52_29.83",122.52,29.83,NA,NA,NA,NA
"243","122.53_29.84",122.53,29.84,18.2011356387825,0.0221250252928715,0.190835060288327,0.314423475855295
"244","122.59_31.01",122.59,31.01,11.3420693287464,0.0138615057136338,0.122751619274771,0.194421909758024
"245","122.55_31.04",122.55,31.04,12.3345499288229,0.0139858653800376,0.117509390743877,0.207203518559918
"246","122.55_31.05",122.55,31.05,NA,NA,NA,NA
"247","122.54_31.07",122.54,31.07,122.962959310741,0.152684183447689,1.20263239443258,2.13726430199166
"248","122.54_31.09",122.54,31.09,NA,NA,NA,NA
"249","122.47_31.09",122.47,31.09,NA,NA,NA,NA
"250","122.35_31.05",122.35,31.05,4.80446506177961,0.00566212304617979,0.0501498360090706,0.0812586135452171
"251","122.3_31.04",122.3,31.04,NA,NA,NA,NA
"252","122.29_31.04",122.29,31.04,NA,NA,NA,NA
"253","122.27_31.04",122.27,31.04,NA,NA,NA,NA
"254","122.27_31.05",122.27,31.05,NA,NA,NA,NA
"255","122.26_31.05",122.26,31.05,NA,NA,NA,NA
"256","122.25_31.05",122.25,31.05,NA,NA,NA,NA
"257","122.24_31.05",122.24,31.05,NA,NA,NA,NA
"258","122.23_31.05",122.23,31.05,NA,NA,NA,NA
"259","122.22_31.05",122.22,31.05,NA,NA,NA,NA
"260","122.2_31.05",122.2,31.05,NA,NA,NA,NA
"261","122.19_31.05",122.19,31.05,NA,NA,NA,NA
"262","122.18_31.05",122.18,31.05,NA,NA,NA,NA
"263","122.17_31.05",122.17,31.05,NA,NA,NA,NA
"264","122.16_31.05",122.16,31.05,NA,NA,NA,NA
"265","122.15_31.05",122.15,31.05,NA,NA,NA,NA
"266","122.14_31.05",122.14,31.05,NA,NA,NA,NA
"267","122.13_31.05",122.13,31.05,NA,NA,NA,NA
"268","122.12_31.05",122.12,31.05,NA,NA,NA,NA
"269","122.11_31.05",122.11,31.05,NA,NA,NA,NA
"270","122.11_31.06",122.11,31.06,NA,NA,NA,NA
"271","122.1_31.06",122.1,31.06,NA,NA,NA,NA
"272","122.09_31.06",122.09,31.06,NA,NA,NA,NA
"273","122.08_31.06",122.08,31.06,NA,NA,NA,NA
"274","122.07_31.06",122.07,31.06,NA,NA,NA,NA
"275","122.07_31.07",122.07,31.07,NA,NA,NA,NA
"276","122.06_31.07",122.06,31.07,NA,NA,NA,NA
"277","122.05_31.07",122.05,31.07,NA,NA,NA,NA
"278","122.04_31.07",122.04,31.07,NA,NA,NA,NA
"279","122.03_31.08",122.03,31.08,NA,NA,NA,NA
"280","122.02_31.08",122.02,31.08,NA,NA,NA,NA
"281","122.01_31.08",122.01,31.08,NA,NA,NA,NA
"282","122_31.08",122,31.08,NA,NA,NA,NA
"283","122_31.09",122,31.09,NA,NA,NA,NA
"284","121.99_31.09",121.99,31.09,NA,NA,NA,NA
"285","121.98_31.09",121.98,31.09,NA,NA,NA,NA
"286","121.98_31.1",121.98,31.1,NA,NA,NA,NA
"287","121.97_31.1",121.97,31.1,NA,NA,NA,NA
"288","121.96_31.1",121.96,31.1,NA,NA,NA,NA
"289","121.96_31.11",121.96,31.11,NA,NA,NA,NA
"290","121.95_31.11",121.95,31.11,NA,NA,NA,NA
"291","121.94_31.11",121.94,31.11,NA,NA,NA,NA
"292","121.94_31.12",121.94,31.12,NA,NA,NA,NA
"293","121.93_31.12",121.93,31.12,NA,NA,NA,NA
"294","121.92_31.12",121.92,31.12,NA,NA,NA,NA
"295","121.92_31.13",121.92,31.13,NA,NA,NA,NA
"296","121.91_31.13",121.91,31.13,NA,NA,NA,NA
"297","121.9_31.13",121.9,31.13,NA,NA,NA,NA
"298","121.9_31.14",121.9,31.14,NA,NA,NA,NA
"299","121.89_31.14",121.89,31.14,NA,NA,NA,NA
"300","121.88_31.14",121.88,31.14,NA,NA,NA,NA
"301","121.88_31.15",121.88,31.15,NA,NA,NA,NA
"302","121.87_31.15",121.87,31.15,NA,NA,NA,NA
"303","121.87_31.16",121.87,31.16,NA,NA,NA,NA
"304","121.86_31.16",121.86,31.16,NA,NA,NA,NA
"305","121.85_31.16",121.85,31.16,NA,NA,NA,NA
"306","121.85_31.17",121.85,31.17,NA,NA,NA,NA
"307","121.84_31.17",121.84,31.17,NA,NA,NA,NA
"308","121.84_31.18",121.84,31.18,NA,NA,NA,NA
"309","121.83_31.18",121.83,31.18,NA,NA,NA,NA
"310","121.83_31.19",121.83,31.19,NA,NA,NA,NA
"311","121.82_31.19",121.82,31.19,NA,NA,NA,NA
"312","121.82_31.2",121.82,31.2,NA,NA,NA,NA
"313","121.81_31.2",121.81,31.2,NA,NA,NA,NA
"314","121.81_31.21",121.81,31.21,NA,NA,NA,NA
"315","121.8_31.21",121.8,31.21,NA,NA,NA,NA
"316","121.8_31.22",121.8,31.22,NA,NA,NA,NA
"317","121.79_31.22",121.79,31.22,NA,NA,NA,NA
"318","121.79_31.23",121.79,31.23,NA,NA,NA,NA
"319","121.78_31.23",121.78,31.23,NA,NA,NA,NA
"320","121.78_31.24",121.78,31.24,NA,NA,NA,NA
"321","121.77_31.24",121.77,31.24,NA,NA,NA,NA
"322","121.77_31.25",121.77,31.25,NA,NA,NA,NA
"323","121.76_31.25",121.76,31.25,NA,NA,NA,NA
"324","121.76_31.26",121.76,31.26,NA,NA,NA,NA
"325","121.75_31.26",121.75,31.26,NA,NA,NA,NA
"326","121.75_31.27",121.75,31.27,NA,NA,NA,NA
"327","121.74_31.27",121.74,31.27,NA,NA,NA,NA
"328","121.74_31.28",121.74,31.28,NA,NA,NA,NA
"329","121.73_31.28",121.73,31.28,NA,NA,NA,NA
"330","121.73_31.29",121.73,31.29,NA,NA,NA,NA
"331","121.72_31.29",121.72,31.29,NA,NA,NA,NA
"332","121.72_31.3",121.72,31.3,NA,NA,NA,NA
"333","121.71_31.3",121.71,31.3,NA,NA,NA,NA
"334","121.71_31.31",121.71,31.31,NA,NA,NA,NA
"335","121.7_31.31",121.7,31.31,NA,NA,NA,NA
"336","121.69_31.32",121.69,31.32,NA,NA,NA,NA
"337","121.67_31.32",121.67,31.32,2133.46714345544,2.53777453059719,22.4157530826569,36.2655114371069
"338","121.66_31.32",121.66,31.32,37.2255047671432,0.0392925762602616,0.337939297936957,0.608002224476806
"339","121.77_31.29",121.77,31.29,NA,NA,NA,NA
"340","121.82_31.27",121.82,31.27,NA,NA,NA,NA
"341","121.9_31.25",121.9,31.25,NA,NA,NA,NA
"342","121.95_31.24",121.95,31.24,33.0800369014576,0.0409784448893134,0.345464665554867,0.573555101022175
"343","121.96_31.24",121.96,31.24,NA,NA,NA,NA
"344","122.02_31.23",122.02,31.23,69.0373993158108,0.0844465989148791,0.689629988709067,1.19196018451978
"345","122.1_31.21",122.1,31.21,NA,NA,NA,NA
"346","122.11_31.21",122.11,31.21,NA,NA,NA,NA
"347","122.25_31.12",122.25,31.12,NA,NA,NA,NA
"348","122.29_31.11",122.29,31.11,NA,NA,NA,NA
"349","122.37_31.09",122.37,31.09,NA,NA,NA,NA
"350","122.38_31.09",122.38,31.09,NA,NA,NA,NA
"351","122.39_31.09",122.39,31.09,NA,NA,NA,NA
"352","122.9_30.52",122.9,30.52,20.0706976981698,0.0273333644155085,0.234666557374703,0.361504349256626
"353","122.59_29.82",122.59,29.82,NA,NA,NA,NA
"354","122.59_29.81",122.59,29.81,NA,NA,NA,NA
"355","122.58_29.81",122.58,29.81,NA,NA,NA,NA
"356","122.56_29.8",122.56,29.8,NA,NA,NA,NA
"357","122.55_29.79",122.55,29.79,NA,NA,NA,NA
"358","122.53_29.79",122.53,29.79,NA,NA,NA,NA
"359","122.53_29.78",122.53,29.78,NA,NA,NA,NA
"360","122.52_29.78",122.52,29.78,NA,NA,NA,NA
"361","122.5_29.77",122.5,29.77,NA,NA,NA,NA
"362","122.47_29.76",122.47,29.76,NA,NA,NA,NA
"363","122.44_29.75",122.44,29.75,NA,NA,NA,NA
"364","122.43_29.74",122.43,29.74,NA,NA,NA,NA
"365","122.42_29.74",122.42,29.74,NA,NA,NA,NA
"366","122.41_29.74",122.41,29.74,NA,NA,NA,NA
"367","122.4_29.74",122.4,29.74,NA,NA,NA,NA
"368","122.4_29.73",122.4,29.73,NA,NA,NA,NA
"369","122.39_29.74",122.39,29.74,NA,NA,NA,NA
"370","122.38_29.74",122.38,29.74,NA,NA,NA,NA
"371","122.37_29.74",122.37,29.74,NA,NA,NA,NA
"372","122.37_29.73",122.37,29.73,NA,NA,NA,NA
"373","122.36_29.73",122.36,29.73,NA,NA,NA,NA
"374","122.14_29.81",122.14,29.81,NA,NA,NA,NA
"375","122.06_29.79",122.06,29.79,NA,NA,NA,NA
"376","122.4_29.76",122.4,29.76,NA,NA,NA,NA
"377","122.41_29.76",122.41,29.76,117.778399562343,0.143337195979453,1.1214169686893,2.03796595967979
"378","122.42_29.77",122.42,29.77,303.97827544545,0.370799125815996,2.47970332025846,5.33517995106199
"379","122.43_29.77",122.43,29.77,115.834893226788,0.145975655820774,1.12226576131722,2.03425222507038
"380","122.44_29.78",122.44,29.78,98.1752947738354,0.121582185923411,0.932072106462923,1.7101581121239
"381","122.45_29.78",122.45,29.78,79.2792233672811,0.0935725558876425,0.722132105312947,1.35660334002187
"382","122.59_30.1",122.59,30.1,7.38482338071421,0.00951362792337414,0.0853997213995608,0.129906283392597
"383","122.59_30.11",122.59,30.11,6.84391909645083,0.00884467546254239,0.080048952824074,0.120435468757918
"384","122.38_31.02",122.38,31.02,NA,NA,NA,NA
"385","122.24_31.04",122.24,31.04,NA,NA,NA,NA
"386","122.23_31.04",122.23,31.04,NA,NA,NA,NA
"387","122.21_31.05",122.21,31.05,NA,NA,NA,NA
"388","122.08_31.07",122.08,31.07,NA,NA,NA,NA
"389","122.04_31.08",122.04,31.08,NA,NA,NA,NA
"390","121.93_31.11",121.93,31.11,NA,NA,NA,NA
"391","121.69_31.31",121.69,31.31,NA,NA,NA,NA
"392","121.84_31.26",121.84,31.26,15.3976677225492,0.0192416061121649,0.153792325847975,0.268178670456754
"393","122.13_31.19",122.13,31.19,7.1040306729616,0.00865988562091141,0.0744644356511521,0.122202779728202
"394","122.18_31.16",122.18,31.16,48.3424047846353,0.0596939524114074,0.497569732621527,0.835801955173356
"395","122.31_31.09",122.31,31.09,NA,NA,NA,NA
"396","122.33_31.09",122.33,31.09,NA,NA,NA,NA
"397","122.35_31.09",122.35,31.09,NA,NA,NA,NA
"398","122.42_31.09",122.42,31.09,NA,NA,NA,NA
"399","122.38_29.77",122.38,29.77,115.921306594531,0.108904105125047,0.868328991351027,1.82038441971889
"400","122.37_29.76",122.37,29.76,132.625230393977,0.153626109438552,1.19514685300634,2.24393583714239
"401","122.36_29.76",122.36,29.76,1370.69895446091,1.60828382127399,12.4733639882812,23.3036701774708
"402","122.35_29.76",122.35,29.76,145.127832717541,0.167271156967394,1.31396114842987,2.46301489833958
"403","122.08_29.8",122.08,29.8,NA,NA,NA,NA
"404","122.05_29.79",122.05,29.79,NA,NA,NA,NA
"405","122.14_29.83",122.14,29.83,NA,NA,NA,NA
"406","122.26_29.77",122.26,29.77,NA,NA,NA,NA
"407","122.47_29.82",122.47,29.82,19.8431722288571,0.0232078148085398,0.199991812815845,0.336387589129335
"408","122.55_29.88",122.55,29.88,13.0769060740067,0.0160159028787796,0.13603552236866,0.226759947585546
"409","121.72_31.32",121.72,31.32,NA,NA,NA,NA
"410","121.7_31.33",121.7,31.33,NA,NA,NA,NA
"411","122.24_31.14",122.24,31.14,NA,NA,NA,NA
