"","gid","g.lon","g.lat","CO2","PM2.5","SOx","NOx"
"1","122_29.76",122,29.76,NA,NA,NA,NA
"2","122.01_29.76",122.01,29.76,NA,NA,NA,NA
"3","122.02_29.77",122.02,29.77,NA,NA,NA,NA
"4","122.03_29.77",122.03,29.77,NA,NA,NA,NA
"5","122.04_29.77",122.04,29.77,NA,NA,NA,NA
"6","122.04_29.78",122.04,29.78,NA,NA,NA,NA
"7","122.05_29.78",122.05,29.78,NA,NA,NA,NA
"8","122.06_29.78",122.06,29.78,NA,NA,NA,NA
"9","122.07_29.78",122.07,29.78,NA,NA,NA,NA
"10","122.07_29.79",122.07,29.79,NA,NA,NA,NA
"11","122.08_29.79",122.08,29.79,NA,NA,NA,NA
"12","122.09_29.8",122.09,29.8,NA,NA,NA,NA
"13","122.1_29.8",122.1,29.8,NA,NA,NA,NA
"14","122.11_29.81",122.11,29.81,NA,NA,NA,NA
"15","122.12_29.81",122.12,29.81,NA,NA,NA,NA
"16","122.13_29.81",122.13,29.81,NA,NA,NA,NA
"17","122.14_29.82",122.14,29.82,NA,NA,NA,NA
"18","122.15_29.82",122.15,29.82,NA,NA,NA,NA
"19","122.16_29.83",122.16,29.83,NA,NA,NA,NA
"20","122.17_29.83",122.17,29.83,NA,NA,NA,NA
"21","122.17_29.84",122.17,29.84,NA,NA,NA,NA
"22","122.18_29.84",122.18,29.84,NA,NA,NA,NA
"23","122.19_29.84",122.19,29.84,NA,NA,NA,NA
"24","122.2_29.84",122.2,29.84,NA,NA,NA,NA
"25","122.2_29.83",122.2,29.83,NA,NA,NA,NA
"26","122.21_29.83",122.21,29.83,NA,NA,NA,NA
"27","122.21_29.82",122.21,29.82,NA,NA,NA,NA
"28","122.22_29.81",122.22,29.81,NA,NA,NA,NA
"29","122.24_29.8",122.24,29.8,NA,NA,NA,NA
"30","122.25_29.79",122.25,29.79,NA,NA,NA,NA
"31","122.26_29.78",122.26,29.78,NA,NA,NA,NA
"32","122.27_29.77",122.27,29.77,NA,NA,NA,NA
"33","122.28_29.76",122.28,29.76,NA,NA,NA,NA
"34","122.29_29.76",122.29,29.76,NA,NA,NA,NA
"35","122.29_29.75",122.29,29.75,NA,NA,NA,NA
"36","122.3_29.75",122.3,29.75,NA,NA,NA,NA
"37","122.31_29.74",122.31,29.74,NA,NA,NA,NA
"38","122.32_29.74",122.32,29.74,NA,NA,NA,NA
"39","122.33_29.74",122.33,29.74,NA,NA,NA,NA
"40","122.34_29.74",122.34,29.74,NA,NA,NA,NA
"41","122.35_29.74",122.35,29.74,NA,NA,NA,NA
"42","122.36_29.74",122.36,29.74,NA,NA,NA,NA
"43","122.36_29.75",122.36,29.75,NA,NA,NA,NA
"44","122.37_29.75",122.37,29.75,NA,NA,NA,NA
"45","122.38_29.75",122.38,29.75,NA,NA,NA,NA
"46","122.38_29.76",122.38,29.76,115.533039362239,0.140483069394606,1.08418626508102,2.00036855408025
"47","122.39_29.76",122.39,29.76,157.439871856938,0.191961422060331,1.47716706649706,2.72718156741086
"48","122.4_29.77",122.4,29.77,91.8431976707947,0.112908593431988,0.913637253125786,1.58374186475695
"49","122.41_29.77",122.41,29.77,184.789233503747,0.225798460046312,1.5388235625232,3.23892102648241
"50","122.41_29.78",122.41,29.78,40.5850276720936,0.0500971973614902,0.395527811034025,0.705535991039164
"51","122.42_29.78",122.42,29.78,111.119942983878,0.133328017626733,1.07022769962014,1.9059715610749
"52","122.43_29.79",122.43,29.79,33.2124545233723,0.0403686006222833,0.32762670634543,0.57232854927349
"53","122.46_29.81",122.46,29.81,23.8292478840324,0.0273045101168408,0.23222457514712,0.400924176464538
"54","122.47_29.81",122.47,29.81,29.6037586819431,0.0336811165497362,0.290088793605852,0.497409382721153
"55","122.51_29.83",122.51,29.83,NA,NA,NA,NA
"56","122.55_29.83",122.55,29.83,NA,NA,NA,NA
"57","122.57_29.83",122.57,29.83,NA,NA,NA,NA
"58","122.58_29.84",122.58,29.84,NA,NA,NA,NA
"59","122.59_29.84",122.59,29.84,NA,NA,NA,NA
"60","122.61_29.84",122.61,29.84,51.7422814740865,0.0673426531954264,0.53974971469603,0.915552134325734
"61","122.63_29.84",122.63,29.84,NA,NA,NA,NA
"62","122.65_29.84",122.65,29.84,NA,NA,NA,NA
"63","122.62_30.71",122.62,30.71,71.5521978970719,0.0863542386663611,0.68722837251912,1.23699946050734
"64","122.62_30.72",122.62,30.72,NA,NA,NA,NA
"65","122.61_30.72",122.61,30.72,99.1433870951137,0.115962509787516,0.958275154604719,1.68760393273399
"66","122.59_30.74",122.59,30.74,NA,NA,NA,NA
"67","122.58_30.75",122.58,30.75,85.5790417229209,0.0987322828561097,0.827275046779588,1.44680823121531
"68","122.58_30.76",122.58,30.76,94.8150718992285,0.105017414120025,0.852714132821054,1.58542635784945
"69","122.57_30.76",122.57,30.76,75.0032107649115,0.0800751709645994,0.701250022971289,1.22578250307757
"70","122.57_30.77",122.57,30.77,NA,NA,NA,NA
"71","122.56_30.77",122.56,30.77,NA,NA,NA,NA
"72","122.56_30.78",122.56,30.78,NA,NA,NA,NA
"73","122.55_30.79",122.55,30.79,37.7843325403654,0.0429802562271605,0.371263611752339,0.634543523222325
"74","122.55_30.8",122.55,30.8,49.1761816659328,0.0548290219687812,0.479306702337806,0.818012422556731
"75","122.55_30.84",122.55,30.84,43.2192743530318,0.0468205854696373,0.392166338170949,0.712533455512131
"76","122.55_30.85",122.55,30.85,30.8550743397519,0.0355175241476062,0.304018570460366,0.520602347698501
"77","122.55_30.86",122.55,30.86,16.8095363941251,0.0211820596510898,0.184501885484654,0.293162008029054
