"","gid","gid","N","lon","lat"
"94","121.5847_31.3727","121.5847_31.3727",23,121.5847,31.3727
"95","121.5848_31.3729","121.5848_31.3729",630,121.5848,31.3729
"96","121.5848_31.3727","121.5848_31.3727",48,121.5848,31.3727
"97","121.5846_31.373","121.5846_31.373",720,121.5846,31.373
"98","121.5845_31.3731","121.5845_31.3731",875,121.5845,31.3731
"99","121.5855_31.3732","121.5855_31.3732",2,121.5855,31.3732
"100","121.5849_31.3728","121.5849_31.3728",579,121.5849,31.3728
"101","121.5845_31.3729","121.5845_31.3729",573,121.5845,31.3729
"102","121.5845_31.373","121.5845_31.373",915,121.5845,31.373
"103","121.5837_31.3731","121.5837_31.3731",19,121.5837,31.3731
"104","121.5849_31.3727","121.5849_31.3727",96,121.5849,31.3727
"105","121.5849_31.3729","121.5849_31.3729",708,121.5849,31.3729
"106","121.5849_31.3726","121.5849_31.3726",31,121.5849,31.3726
"107","121.5731_31.378","121.5731_31.378",354,121.5731,31.378
"108","121.5729_31.3776","121.5729_31.3776",6,121.5729,31.3776
"109","121.5857_31.3726","121.5857_31.3726",11908,121.5857,31.3726
"110","121.5857_31.3727","121.5857_31.3727",28046,121.5857,31.3727
"111","121.5856_31.3726","121.5856_31.3726",4550,121.5856,31.3726
"112","121.5858_31.3725","121.5858_31.3725",1181,121.5858,31.3725
"113","121.5857_31.3725","121.5857_31.3725",959,121.5857,31.3725
"114","121.5855_31.3727","121.5855_31.3727",4191,121.5855,31.3727
"115","121.5856_31.3727","121.5856_31.3727",11371,121.5856,31.3727
"116","121.5856_31.3728","121.5856_31.3728",2783,121.5856,31.3728
"117","121.5858_31.3724","121.5858_31.3724",683,121.5858,31.3724
"118","121.5859_31.3725","121.5859_31.3725",820,121.5859,31.3725
"119","121.5856_31.3725","121.5856_31.3725",1359,121.5856,31.3725
"120","121.5857_31.3728","121.5857_31.3728",1801,121.5857,31.3728
"121","121.5844_31.3731","121.5844_31.3731",566,121.5844,31.3731
"122","121.5844_31.373","121.5844_31.373",510,121.5844,31.373
"123","121.5844_31.3729","121.5844_31.3729",245,121.5844,31.3729
"124","121.5845_31.3728","121.5845_31.3728",93,121.5845,31.3728
"125","121.578_31.3756","121.578_31.3756",142,121.578,31.3756
"126","121.5781_31.3756","121.5781_31.3756",313,121.5781,31.3756
"127","121.5781_31.3757","121.5781_31.3757",789,121.5781,31.3757
"128","121.578_31.3757","121.578_31.3757",715,121.578,31.3757
"129","121.5781_31.3755","121.5781_31.3755",19,121.5781,31.3755
"130","121.5782_31.3755","121.5782_31.3755",57,121.5782,31.3755
"131","121.5779_31.3756","121.5779_31.3756",130,121.5779,31.3756
