"","gid","gid","N","lon","lat"
"7046","122.0476_29.8892","122.0476_29.8892",19,122.0476,29.8892
"7047","122.0474_29.8893","122.0474_29.8893",100,122.0474,29.8893
"7048","122.0474_29.8894","122.0474_29.8894",93,122.0474,29.8894
"7049","122.0475_29.8892","122.0475_29.8892",13,122.0475,29.8892
"7050","122.0476_29.8891","122.0476_29.8891",2,122.0476,29.8891
"7051","122.0475_29.8891","122.0475_29.8891",1,122.0475,29.8891
"7052","122.0472_29.8892","122.0472_29.8892",10,122.0472,29.8892
"7053","122.0473_29.8892","122.0473_29.8892",23,122.0473,29.8892
"7054","122.0473_29.8893","122.0473_29.8893",79,122.0473,29.8893
"7055","122.0614_30.6219","122.0614_30.6219",375,122.0614,30.6219
"7056","122.0614_30.6218","122.0614_30.6218",568,122.0614,30.6218
"7057","122.0613_30.622","122.0613_30.622",340,122.0613,30.622
"7058","122.0614_30.622","122.0614_30.622",110,122.0614,30.622
"7059","122.0612_30.6218","122.0612_30.6218",131,122.0612,30.6218
"7060","122.0613_30.6218","122.0613_30.6218",148,122.0613,30.6218
"7061","122.0615_30.6219","122.0615_30.6219",125,122.0615,30.6219
"7062","122.0615_30.6218","122.0615_30.6218",246,122.0615,30.6218
"7063","122.0616_30.6219","122.0616_30.6219",80,122.0616,30.6219
"7064","122.0615_30.622","122.0615_30.622",68,122.0615,30.622
"7065","122.0615_30.6222","122.0615_30.6222",15,122.0615,30.6222
"7066","122.0616_30.6223","122.0616_30.6223",4,122.0616,30.6223
"7067","122.0616_30.6221","122.0616_30.6221",30,122.0616,30.6221
"7068","122.0615_30.6221","122.0615_30.6221",57,122.0615,30.6221
"7069","122.0615_30.6217","122.0615_30.6217",633,122.0615,30.6217
"7070","122.0614_30.6217","122.0614_30.6217",203,122.0614,30.6217
"7071","122.0611_30.6221","122.0611_30.6221",192,122.0611,30.6221
"7072","122.0612_30.6221","122.0612_30.6221",177,122.0612,30.6221
"7073","122.0319_29.8942","122.0319_29.8942",364,122.0319,29.8942
"7074","122.0448_29.8903","122.0448_29.8903",123,122.0448,29.8903
"7075","122.0448_29.8902","122.0448_29.8902",87,122.0448,29.8902
"7076","122.0448_29.8904","122.0448_29.8904",2,122.0448,29.8904
"7077","122.0449_29.8903","122.0449_29.8903",13,122.0449,29.8903
"7078","122.0584_30.6241","122.0584_30.6241",143,122.0584,30.6241
"7079","122.0585_30.6241","122.0585_30.6241",97,122.0585,30.6241
"7080","122.0583_30.6241","122.0583_30.6241",190,122.0583,30.6241
"7081","122.0585_30.6239","122.0585_30.6239",228,122.0585,30.6239
"7082","122.0584_30.6242","122.0584_30.6242",8,122.0584,30.6242
"7083","122.0585_30.6242","122.0585_30.6242",11,122.0585,30.6242
"7084","122.0585_30.6243","122.0585_30.6243",10,122.0585,30.6243
"7085","122.0586_30.6243","122.0586_30.6243",8,122.0586,30.6243
"7086","122.0586_30.6242","122.0586_30.6242",35,122.0586,30.6242
"7087","122.0587_30.6242","122.0587_30.6242",17,122.0587,30.6242
"7088","122.0582_30.6243","122.0582_30.6243",17,122.0582,30.6243
"7089","122.0582_30.6241","122.0582_30.6241",630,122.0582,30.6241
"7090","122.0581_30.6242","122.0581_30.6242",53,122.0581,30.6242
"7091","122.0322_29.894","122.0322_29.894",62,122.0322,29.894
"7092","121.5781_31.3758","121.5781_31.3758",907,121.5781,31.3758
"7093","121.5781_31.3759","121.5781_31.3759",340,121.5781,31.3759
"7094","121.5761_31.3767","121.5761_31.3767",377,121.5761,31.3767
"7095","121.5782_31.3757","121.5782_31.3757",253,121.5782,31.3757
"7096","121.578_31.3758","121.578_31.3758",648,121.578,31.3758
"7097","121.5764_31.3767","121.5764_31.3767",31,121.5764,31.3767
"7098","121.5782_31.3758","121.5782_31.3758",203,121.5782,31.3758
"7099","121.578_31.3759","121.578_31.3759",813,121.578,31.3759
"7100","121.5778_31.3756","121.5778_31.3756",69,121.5778,31.3756
"7101","121.5777_31.3756","121.5777_31.3756",32,121.5777,31.3756
"7102","121.5778_31.3757","121.5778_31.3757",395,121.5778,31.3757
"7103","121.5779_31.3757","121.5779_31.3757",369,121.5779,31.3757
"7104","121.5781_31.376","121.5781_31.376",57,121.5781,31.376
"7105","121.5757_31.3765","121.5757_31.3765",42,121.5757,31.3765
"7106","121.5783_31.3757","121.5783_31.3757",502,121.5783,31.3757
"7107","121.5783_31.3758","121.5783_31.3758",532,121.5783,31.3758
"7108","121.5768_31.3762","121.5768_31.3762",729,121.5768,31.3762
"7109","121.5822_31.3741","121.5822_31.3741",493,121.5822,31.3741
"7110","121.5824_31.3741","121.5824_31.3741",557,121.5824,31.3741
"7111","121.5823_31.3741","121.5823_31.3741",978,121.5823,31.3741
"7112","121.5802_31.3751","121.5802_31.3751",206,121.5802,31.3751
"7113","121.5822_31.3738","121.5822_31.3738",118,121.5822,31.3738
"7114","121.5822_31.3739","121.5822_31.3739",167,121.5822,31.3739
"7115","121.5828_31.3745","121.5828_31.3745",1,121.5828,31.3745
"7116","121.5828_31.3744","121.5828_31.3744",2,121.5828,31.3744
"7117","121.5827_31.3744","121.5827_31.3744",1,121.5827,31.3744
"7118","121.5827_31.3743","121.5827_31.3743",5,121.5827,31.3743
"7119","121.5806_31.3746","121.5806_31.3746",1122,121.5806,31.3746
"7120","121.5806_31.3747","121.5806_31.3747",846,121.5806,31.3747
"7121","121.5809_31.3747","121.5809_31.3747",311,121.5809,31.3747
"7122","121.5808_31.3748","121.5808_31.3748",289,121.5808,31.3748
"7123","121.5799_31.3752","121.5799_31.3752",295,121.5799,31.3752
"7124","121.5804_31.3746","121.5804_31.3746",238,121.5804,31.3746
"7125","121.5808_31.375","121.5808_31.375",29,121.5808,31.375
"7126","121.5807_31.3749","121.5807_31.3749",212,121.5807,31.3749
"7127","121.581_31.3744","121.581_31.3744",51,121.581,31.3744
"7128","121.5809_31.3744","121.5809_31.3744",21,121.5809,31.3744
"7129","121.5809_31.3745","121.5809_31.3745",129,121.5809,31.3745
"7130","121.58_31.3751","121.58_31.3751",389,121.58,31.3751
"7131","121.5826_31.3737","121.5826_31.3737",115,121.5826,31.3737
"7132","122.0577_30.6245","122.0577_30.6245",307,122.0577,30.6245
"7133","122.0577_30.6246","122.0577_30.6246",167,122.0577,30.6246
"7134","122.0576_30.6246","122.0576_30.6246",87,122.0576,30.6246
"7135","122.0578_30.6246","122.0578_30.6246",28,122.0578,30.6246
"7136","122.0578_30.6245","122.0578_30.6245",329,122.0578,30.6245
"7137","122.0576_30.6248","122.0576_30.6248",44,122.0576,30.6248
"7138","122.0318_29.8942","122.0318_29.8942",9,122.0318,29.8942
"7139","122.0451_29.8899","122.0451_29.8899",33,122.0451,29.8899
"7140","122.0451_29.89","122.0451_29.89",41,122.0451,29.89
"7141","122.0449_29.8899","122.0449_29.8899",19,122.0449,29.8899
"7142","122.0453_29.8902","122.0453_29.8902",192,122.0453,29.8902
"7143","121.5825_31.3741","121.5825_31.3741",303,121.5825,31.3741
"7144","121.5823_31.3742","121.5823_31.3742",136,121.5823,31.3742
"7145","121.5824_31.3742","121.5824_31.3742",59,121.5824,31.3742
"7146","121.5829_31.3741","121.5829_31.3741",16,121.5829,31.3741
"7147","121.5822_31.3742","121.5822_31.3742",146,121.5822,31.3742
"7148","121.8688_29.9359","121.8688_29.9359",443,121.8688,29.9359
"7149","121.8689_29.9359","121.8689_29.9359",127,121.8689,29.9359
"7150","121.8688_29.9358","121.8688_29.9358",84,121.8688,29.9358
"7151","121.8689_29.936","121.8689_29.936",32,121.8689,29.936
"7152","121.8688_29.936","121.8688_29.936",862,121.8688,29.936
"7153","121.8689_29.9358","121.8689_29.9358",348,121.8689,29.9358
"7154","121.5737_31.3777","121.5737_31.3777",2827,121.5737,31.3777
"7155","121.5736_31.3777","121.5736_31.3777",1033,121.5736,31.3777
"7156","121.5735_31.3777","121.5735_31.3777",400,121.5735,31.3777
"7157","121.5723_31.3763","121.5723_31.3763",1,121.5723,31.3763
"7158","121.5724_31.3764","121.5724_31.3764",1,121.5724,31.3764
"7159","121.5726_31.3766","121.5726_31.3766",1,121.5726,31.3766
"7160","121.5736_31.3776","121.5736_31.3776",5080,121.5736,31.3776
"7161","121.5736_31.3778","121.5736_31.3778",571,121.5736,31.3778
"7162","121.5735_31.3778","121.5735_31.3778",416,121.5735,31.3778
"7163","121.8639_29.9376","121.8639_29.9376",194,121.8639,29.9376
"7164","121.8639_29.9375","121.8639_29.9375",151,121.8639,29.9375
"7165","121.864_29.9376","121.864_29.9376",55,121.864,29.9376
"7166","122.0545_30.6268","122.0545_30.6268",80,122.0545,30.6268
"7167","121.5817_31.3743","121.5817_31.3743",464,121.5817,31.3743
"7168","121.5818_31.3743","121.5818_31.3743",1642,121.5818,31.3743
"7169","122.0378_29.8924","122.0378_29.8924",1431,122.0378,29.8924
"7170","122.0379_29.8923","122.0379_29.8923",809,122.0379,29.8923
"7171","122.0379_29.8924","122.0379_29.8924",768,122.0379,29.8924
"7172","122.0378_29.8923","122.0378_29.8923",1786,122.0378,29.8923
"7173","121.5788_31.3755","121.5788_31.3755",198,121.5788,31.3755
"7174","122.032_29.894","122.032_29.894",21,122.032,29.894
"7175","122.0318_29.8941","122.0318_29.8941",39,122.0318,29.8941
"7176","122.0321_29.8943","122.0321_29.8943",5,122.0321,29.8943
"7177","122.0318_29.8944","122.0318_29.8944",2,122.0318,29.8944
"7178","121.5791_31.3754","121.5791_31.3754",371,121.5791,31.3754
"7179","121.5789_31.3757","121.5789_31.3757",28,121.5789,31.3757
"7180","121.579_31.3755","121.579_31.3755",922,121.579,31.3755
"7181","121.5791_31.3755","121.5791_31.3755",400,121.5791,31.3755
"7182","121.5768_31.3763","121.5768_31.3763",2543,121.5768,31.3763
"7183","121.579_31.3754","121.579_31.3754",585,121.579,31.3754
"7184","121.5791_31.3756","121.5791_31.3756",48,121.5791,31.3756
"7185","121.5792_31.3755","121.5792_31.3755",81,121.5792,31.3755
"7186","121.5792_31.3754","121.5792_31.3754",175,121.5792,31.3754
"7187","121.5792_31.3752","121.5792_31.3752",208,121.5792,31.3752
"7188","121.5768_31.3761","121.5768_31.3761",177,121.5768,31.3761
"7189","121.5766_31.3759","121.5766_31.3759",23,121.5766,31.3759
"7190","121.5787_31.3754","121.5787_31.3754",175,121.5787,31.3754
"7191","121.5789_31.3755","121.5789_31.3755",481,121.5789,31.3755
"7192","122.0323_29.8939","122.0323_29.8939",44,122.0323,29.8939
"7193","122.0323_29.894","122.0323_29.894",44,122.0323,29.894
"7194","121.6546_31.3384","121.6546_31.3384",3,121.6546,31.3384
"7195","121.6544_31.339","121.6544_31.339",1,121.6544,31.339
"7196","121.6545_31.3374","121.6545_31.3374",3,121.6545,31.3374
"7197","121.6567_31.3371","121.6567_31.3371",19,121.6567,31.3371
"7198","121.6564_31.3369","121.6564_31.3369",54,121.6564,31.3369
"7199","121.6565_31.3369","121.6565_31.3369",309,121.6565,31.3369
"7200","121.6545_31.3383","121.6545_31.3383",9,121.6545,31.3383
"7201","121.6547_31.338","121.6547_31.338",43,121.6547,31.338
"7202","121.6565_31.3371","121.6565_31.3371",415,121.6565,31.3371
"7203","121.6557_31.3388","121.6557_31.3388",1,121.6557,31.3388
"7204","121.6543_31.3376","121.6543_31.3376",19,121.6543,31.3376
"7205","121.6543_31.3381","121.6543_31.3381",177,121.6543,31.3381
"7206","121.6671_31.3313","121.6671_31.3313",355,121.6671,31.3313
"7207","121.6671_31.3312","121.6671_31.3312",1336,121.6671,31.3312
"7208","121.6671_31.3311","121.6671_31.3311",782,121.6671,31.3311
"7209","121.667_31.3311","121.667_31.3311",867,121.667,31.3311
"7210","121.6672_31.3313","121.6672_31.3313",129,121.6672,31.3313
"7211","121.667_31.3313","121.667_31.3313",911,121.667,31.3313
"7212","122.0444_29.8902","122.0444_29.8902",18,122.0444,29.8902
"7213","122.0447_29.8901","122.0447_29.8901",4,122.0447,29.8901
"7214","122.0448_29.8901","122.0448_29.8901",16,122.0448,29.8901
"7215","122.0446_29.8901","122.0446_29.8901",10,122.0446,29.8901
"7216","122.0443_29.8904","122.0443_29.8904",7,122.0443,29.8904
"7217","122.0445_29.8905","122.0445_29.8905",2,122.0445,29.8905
"7218","122.0445_29.8901","122.0445_29.8901",9,122.0445,29.8901
"7219","121.6649_31.3327","121.6649_31.3327",15,121.6649,31.3327
"7220","122.0416_29.8911","122.0416_29.8911",404,122.0416,29.8911
"7221","122.042_29.8908","122.042_29.8908",290,122.042,29.8908
"7222","122.0419_29.8909","122.0419_29.8909",79,122.0419,29.8909
"7223","122.0416_29.8912","122.0416_29.8912",1365,122.0416,29.8912
"7224","122.0417_29.8913","122.0417_29.8913",428,122.0417,29.8913
"7225","121.5785_31.3756","121.5785_31.3756",337,121.5785,31.3756
"7226","121.5785_31.3757","121.5785_31.3757",418,121.5785,31.3757
"7227","121.5786_31.3757","121.5786_31.3757",401,121.5786,31.3757
"7228","121.5786_31.3758","121.5786_31.3758",304,121.5786,31.3758
"7229","121.5785_31.3752","121.5785_31.3752",7,121.5785,31.3752
"7230","122.0398_29.8918","122.0398_29.8918",234,122.0398,29.8918
"7231","122.0399_29.8918","122.0399_29.8918",143,122.0399,29.8918
"7232","122.0399_29.8917","122.0399_29.8917",53,122.0399,29.8917
"7233","122.0398_29.8917","122.0398_29.8917",149,122.0398,29.8917
"7234","122.04_29.8918","122.04_29.8918",50,122.04,29.8918
"7235","122.0401_29.8918","122.0401_29.8918",135,122.0401,29.8918
"7236","122.0401_29.8917","122.0401_29.8917",159,122.0401,29.8917
"7237","122.04_29.8917","122.04_29.8917",21,122.04,29.8917
"7238","122.0397_29.8918","122.0397_29.8918",202,122.0397,29.8918
"7239","121.5739_31.3777","121.5739_31.3777",1387,121.5739,31.3777
"7240","121.5736_31.3775","121.5736_31.3775",2198,121.5736,31.3775
"7241","122.0474_29.8895","122.0474_29.8895",5,122.0474,29.8895
"7242","121.5801_31.3749","121.5801_31.3749",983,121.5801,31.3749
"7243","121.5801_31.375","121.5801_31.375",505,121.5801,31.375
"7244","121.58_31.3749","121.58_31.3749",1229,121.58,31.3749
"7245","121.58_31.375","121.58_31.375",560,121.58,31.375
"7246","121.5798_31.3752","121.5798_31.3752",577,121.5798,31.3752
"7247","121.5798_31.3751","121.5798_31.3751",1503,121.5798,31.3751
"7248","121.5801_31.3748","121.5801_31.3748",830,121.5801,31.3748
"7249","121.5799_31.3749","121.5799_31.3749",518,121.5799,31.3749
"7250","121.5825_31.3743","121.5825_31.3743",7,121.5825,31.3743
"7251","121.5822_31.3737","121.5822_31.3737",10,121.5822,31.3737
"7252","121.5821_31.3743","121.5821_31.3743",176,121.5821,31.3743
"7253","121.5819_31.3744","121.5819_31.3744",178,121.5819,31.3744
"7254","121.5824_31.3743","121.5824_31.3743",19,121.5824,31.3743
"7255","121.58_31.3752","121.58_31.3752",125,121.58,31.3752
"7256","121.5803_31.3746","121.5803_31.3746",106,121.5803,31.3746
"7257","121.5823_31.3743","121.5823_31.3743",36,121.5823,31.3743
"7258","121.58_31.3748","121.58_31.3748",270,121.58,31.3748
"7259","121.5828_31.374","121.5828_31.374",180,121.5828,31.374
"7260","121.5827_31.3741","121.5827_31.3741",67,121.5827,31.3741
"7261","121.5826_31.3741","121.5826_31.3741",92,121.5826,31.3741
"7262","121.5828_31.3739","121.5828_31.3739",272,121.5828,31.3739
"7263","121.5803_31.3752","121.5803_31.3752",31,121.5803,31.3752
"7264","121.5828_31.3741","121.5828_31.3741",47,121.5828,31.3741
"7265","121.5752_31.377","121.5752_31.377",485,121.5752,31.377
"7266","121.5755_31.3773","121.5755_31.3773",7,121.5755,31.3773
"7267","121.5752_31.3771","121.5752_31.3771",98,121.5752,31.3771
"7268","121.5751_31.3771","121.5751_31.3771",420,121.5751,31.3771
"7269","121.5751_31.377","121.5751_31.377",846,121.5751,31.377
"7270","121.5752_31.3769","121.5752_31.3769",173,121.5752,31.3769
"7271","121.5752_31.3767","121.5752_31.3767",7,121.5752,31.3767
"7272","121.5751_31.3768","121.5751_31.3768",68,121.5751,31.3768
"7273","121.5752_31.3768","121.5752_31.3768",37,121.5752,31.3768
"7274","121.5756_31.3766","121.5756_31.3766",178,121.5756,31.3766
"7275","121.5764_31.3748","121.5764_31.3748",7,121.5764,31.3748
"7276","121.5764_31.3749","121.5764_31.3749",1,121.5764,31.3749
"7277","121.5763_31.375","121.5763_31.375",19,121.5763,31.375
"7278","121.5759_31.3752","121.5759_31.3752",1,121.5759,31.3752
"7279","121.576_31.3757","121.576_31.3757",25,121.576,31.3757
"7280","121.5756_31.3765","121.5756_31.3765",22,121.5756,31.3765
"7281","121.5759_31.379","121.5759_31.379",2,121.5759,31.379
"7282","121.5755_31.3777","121.5755_31.3777",1,121.5755,31.3777
"7283","121.5757_31.3772","121.5757_31.3772",3,121.5757,31.3772
"7284","121.5752_31.3766","121.5752_31.3766",2,121.5752,31.3766
"7285","121.575_31.3789","121.575_31.3789",1,121.575,31.3789
"7286","121.5749_31.3757","121.5749_31.3757",1,121.5749,31.3757
"7287","121.5751_31.3759","121.5751_31.3759",1,121.5751,31.3759
"7288","121.5757_31.3775","121.5757_31.3775",1,121.5757,31.3775
"7289","121.5756_31.3777","121.5756_31.3777",1,121.5756,31.3777
"7290","121.5758_31.3773","121.5758_31.3773",1,121.5758,31.3773
"7291","121.5769_31.3773","121.5769_31.3773",1,121.5769,31.3773
"7292","121.5749_31.3768","121.5749_31.3768",6,121.5749,31.3768
"7293","121.575_31.377","121.575_31.377",419,121.575,31.377
"7294","121.575_31.378","121.575_31.378",1,121.575,31.378
"7295","121.5759_31.3754","121.5759_31.3754",2,121.5759,31.3754
"7296","121.5759_31.3755","121.5759_31.3755",1,121.5759,31.3755
"7297","121.5758_31.3757","121.5758_31.3757",1,121.5758,31.3757
"7298","121.5758_31.3758","121.5758_31.3758",2,121.5758,31.3758
"7299","121.5757_31.3759","121.5757_31.3759",4,121.5757,31.3759
"7300","121.5757_31.376","121.5757_31.376",1,121.5757,31.376
"7301","121.5756_31.3762","121.5756_31.3762",3,121.5756,31.3762
"7302","121.5756_31.3763","121.5756_31.3763",5,121.5756,31.3763
"7303","121.5755_31.3764","121.5755_31.3764",3,121.5755,31.3764
"7304","122.0438_29.8905","122.0438_29.8905",415,122.0438,29.8905
"7305","122.0437_29.8905","122.0437_29.8905",282,122.0437,29.8905
"7306","122.0438_29.8906","122.0438_29.8906",381,122.0438,29.8906
"7307","122.0437_29.8906","122.0437_29.8906",181,122.0437,29.8906
"7308","122.0439_29.8905","122.0439_29.8905",26,122.0439,29.8905
"7309","122.0439_29.8906","122.0439_29.8906",31,122.0439,29.8906
"7310","121.5821_31.3729","121.5821_31.3729",1,121.5821,31.3729
"7311","121.5847_31.3733","121.5847_31.3733",9,121.5847,31.3733
"7312","121.5846_31.3733","121.5846_31.3733",33,121.5846,31.3733
"7313","121.5821_31.3747","121.5821_31.3747",2,121.5821,31.3747
"7314","121.5819_31.3743","121.5819_31.3743",942,121.5819,31.3743
"7315","121.5846_31.3732","121.5846_31.3732",22,121.5846,31.3732
"7316","121.5822_31.3743","121.5822_31.3743",27,121.5822,31.3743
"7317","122.0474_29.8896","122.0474_29.8896",4,122.0474,29.8896
"7318","122.0475_29.8896","122.0475_29.8896",2,122.0475,29.8896
"7319","121.5736_31.378","121.5736_31.378",141,121.5736,31.378
"7320","121.5738_31.3778","121.5738_31.3778",707,121.5738,31.3778
"7321","121.5758_31.3766","121.5758_31.3766",621,121.5758,31.3766
"7322","121.5735_31.3776","121.5735_31.3776",1939,121.5735,31.3776
"7323","121.5733_31.3785","121.5733_31.3785",1,121.5733,31.3785
"7324","121.574_31.3772","121.574_31.3772",59,121.574,31.3772
"7325","121.5733_31.3772","121.5733_31.3772",4,121.5733,31.3772
"7326","122.0438_29.8904","122.0438_29.8904",210,122.0438,29.8904
"7327","121.6689_31.3302","121.6689_31.3302",1670,121.6689,31.3302
"7328","121.6667_31.3313","121.6667_31.3313",237,121.6667,31.3313
"7329","121.6689_31.3303","121.6689_31.3303",190,121.6689,31.3303
"7330","121.6668_31.3315","121.6668_31.3315",82,121.6668,31.3315
"7331","121.6688_31.3303","121.6688_31.3303",878,121.6688,31.3303
"7332","122.0555_29.8889","122.0555_29.8889",1720,122.0555,29.8889
"7333","122.0556_29.8888","122.0556_29.8888",362,122.0556,29.8888
"7334","122.0555_29.8888","122.0555_29.8888",274,122.0555,29.8888
"7335","122.0556_29.8886","122.0556_29.8886",14,122.0556,29.8886
"7336","122.0557_29.8887","122.0557_29.8887",119,122.0557,29.8887
"7337","122.0557_29.8888","122.0557_29.8888",314,122.0557,29.8888
"7338","122.0557_29.8889","122.0557_29.8889",512,122.0557,29.8889
"7339","122.0554_29.8889","122.0554_29.8889",346,122.0554,29.8889
"7340","122.0556_29.889","122.0556_29.889",293,122.0556,29.889
"7341","122.0555_29.889","122.0555_29.889",270,122.0555,29.889
"7342","122.0556_29.8889","122.0556_29.8889",1278,122.0556,29.8889
"7343","122.0554_29.889","122.0554_29.889",252,122.0554,29.889
"7344","122.0557_29.889","122.0557_29.889",334,122.0557,29.889
"7345","122.0556_29.8884","122.0556_29.8884",2,122.0556,29.8884
"7346","122.0556_29.8887","122.0556_29.8887",79,122.0556,29.8887
"7347","122.0555_29.8891","122.0555_29.8891",38,122.0555,29.8891
"7348","122.0555_29.8892","122.0555_29.8892",13,122.0555,29.8892
"7349","122.0557_29.8892","122.0557_29.8892",24,122.0557,29.8892
"7350","122.0557_29.8891","122.0557_29.8891",27,122.0557,29.8891
"7351","122.0556_29.8891","122.0556_29.8891",32,122.0556,29.8891
"7352","122.0557_29.8893","122.0557_29.8893",4,122.0557,29.8893
"7353","122.0554_29.8888","122.0554_29.8888",199,122.0554,29.8888
"7354","122.0554_29.8892","122.0554_29.8892",11,122.0554,29.8892
"7355","122.0554_29.8891","122.0554_29.8891",30,122.0554,29.8891
"7356","122.0553_29.889","122.0553_29.889",204,122.0553,29.889
"7357","122.0553_29.8891","122.0553_29.8891",50,122.0553,29.8891
"7358","122.0553_29.8892","122.0553_29.8892",17,122.0553,29.8892
"7359","122.0551_29.8889","122.0551_29.8889",132,122.0551,29.8889
"7360","122.0553_29.8889","122.0553_29.8889",330,122.0553,29.8889
"7361","122.0553_29.8888","122.0553_29.8888",110,122.0553,29.8888
"7362","122.0552_29.889","122.0552_29.889",226,122.0552,29.889
"7363","122.0552_29.8891","122.0552_29.8891",41,122.0552,29.8891
"7364","122.0552_29.8893","122.0552_29.8893",4,122.0552,29.8893
"7365","122.0555_29.8887","122.0555_29.8887",62,122.0555,29.8887
"7366","122.0552_29.8892","122.0552_29.8892",16,122.0552,29.8892
"7367","122.0559_29.8889","122.0559_29.8889",362,122.0559,29.8889
"7368","122.0554_29.8887","122.0554_29.8887",41,122.0554,29.8887
"7369","122.0552_29.8888","122.0552_29.8888",145,122.0552,29.8888
"7370","122.0553_29.8887","122.0553_29.8887",32,122.0553,29.8887
"7371","122.0554_29.8886","122.0554_29.8886",13,122.0554,29.8886
"7372","122.0555_29.8884","122.0555_29.8884",4,122.0555,29.8884
"7373","122.0555_29.8886","122.0555_29.8886",8,122.0555,29.8886
"7374","122.055_29.8891","122.055_29.8891",39,122.055,29.8891
"7375","122.0535_29.8849","122.0535_29.8849",1,122.0535,29.8849
"7376","122.0537_29.8843","122.0537_29.8843",1,122.0537,29.8843
"7377","122.0575_29.8817","122.0575_29.8817",1,122.0575,29.8817
"7378","122.0559_29.8903","122.0559_29.8903",2,122.0559,29.8903
"7379","122.0565_29.8865","122.0565_29.8865",1,122.0565,29.8865
"7380","122.0553_29.8789","122.0553_29.8789",1,122.0553,29.8789
"7381","122.0558_29.888","122.0558_29.888",1,122.0558,29.888
"7382","122.0556_29.8859","122.0556_29.8859",1,122.0556,29.8859
"7383","122.0645_29.886","122.0645_29.886",2,122.0645,29.886
"7384","122.0648_29.885","122.0648_29.885",1,122.0648,29.885
"7385","122.0564_29.8888","122.0564_29.8888",237,122.0564,29.8888
"7386","122.0546_29.8881","122.0546_29.8881",1,122.0546,29.8881
"7387","122.055_29.8882","122.055_29.8882",3,122.055,29.8882
"7388","122.0551_29.8881","122.0551_29.8881",1,122.0551,29.8881
"7389","122.0568_29.888","122.0568_29.888",1,122.0568,29.888
"7390","122.0565_29.888","122.0565_29.888",1,122.0565,29.888
"7391","122.0563_29.8877","122.0563_29.8877",1,122.0563,29.8877
"7392","122.0562_29.888","122.0562_29.888",1,122.0562,29.888
"7393","122.0554_29.8885","122.0554_29.8885",4,122.0554,29.8885
"7394","122.056_29.8883","122.056_29.8883",1,122.056,29.8883
"7395","122.056_29.8882","122.056_29.8882",1,122.056,29.8882
"7396","122.0559_29.8883","122.0559_29.8883",1,122.0559,29.8883
"7397","122.055_29.8889","122.055_29.8889",38,122.055,29.8889
"7398","122.0549_29.8891","122.0549_29.8891",8,122.0549,29.8891
"7399","122.055_29.889","122.055_29.889",53,122.055,29.889
"7400","122.0545_29.8889","122.0545_29.8889",162,122.0545,29.8889
"7401","122.0558_29.889","122.0558_29.889",440,122.0558,29.889
"7402","122.0558_29.8888","122.0558_29.8888",779,122.0558,29.8888
"7403","122.0465_30.6333","122.0465_30.6333",1,122.0465,30.6333
"7404","122.0467_30.6338","122.0467_30.6338",1,122.0467,30.6338
"7405","122.0569_29.8888","122.0569_29.8888",1567,122.0569,29.8888
"7406","122.057_29.8888","122.057_29.8888",948,122.057,29.8888
"7407","122.0574_29.8887","122.0574_29.8887",299,122.0574,29.8887
"7408","122.0576_29.8886","122.0576_29.8886",58,122.0576,29.8886
"7409","122.0578_29.8886","122.0578_29.8886",34,122.0578,29.8886
"7410","122.0579_29.8885","122.0579_29.8885",8,122.0579,29.8885
"7411","122.058_29.8885","122.058_29.8885",5,122.058,29.8885
"7412","122.0581_29.8885","122.0581_29.8885",5,122.0581,29.8885
"7413","122.0579_29.8886","122.0579_29.8886",9,122.0579,29.8886
"7414","122.0575_29.8887","122.0575_29.8887",140,122.0575,29.8887
"7415","122.0574_29.8888","122.0574_29.8888",381,122.0574,29.8888
"7416","122.0572_29.889","122.0572_29.889",426,122.0572,29.889
"7417","122.0572_29.8891","122.0572_29.8891",49,122.0572,29.8891
"7418","122.0571_29.8891","122.0571_29.8891",77,122.0571,29.8891
"7419","122.057_29.8891","122.057_29.8891",67,122.057,29.8891
"7420","122.0571_29.889","122.0571_29.889",573,122.0571,29.889
"7421","122.0571_29.8888","122.0571_29.8888",1359,122.0571,29.8888
"7422","122.0572_29.8887","122.0572_29.8887",472,122.0572,29.8887
"7423","122.0573_29.8887","122.0573_29.8887",269,122.0573,29.8887
"7424","122.0571_29.8887","122.0571_29.8887",257,122.0571,29.8887
"7425","122.057_29.8887","122.057_29.8887",318,122.057,29.8887
"7426","122.0569_29.8886","122.0569_29.8886",46,122.0569,29.8886
"7427","122.057_29.8886","122.057_29.8886",49,122.057,29.8886
"7428","122.0571_29.8886","122.0571_29.8886",108,122.0571,29.8886
"7429","122.0568_29.8888","122.0568_29.8888",607,122.0568,29.8888
"7430","122.0568_29.8889","122.0568_29.8889",829,122.0568,29.8889
"7431","122.0568_29.8887","122.0568_29.8887",258,122.0568,29.8887
"7432","122.057_29.8884","122.057_29.8884",8,122.057,29.8884
"7433","122.057_29.8883","122.057_29.8883",5,122.057,29.8883
"7434","122.0569_29.8887","122.0569_29.8887",355,122.0569,29.8887
"7435","122.057_29.8885","122.057_29.8885",23,122.057,29.8885
"7436","122.0569_29.8891","122.0569_29.8891",63,122.0569,29.8891
"7437","122.0569_29.8892","122.0569_29.8892",44,122.0569,29.8892
"7438","122.0565_29.8887","122.0565_29.8887",64,122.0565,29.8887
"7439","122.0565_29.8886","122.0565_29.8886",31,122.0565,29.8886
